name,scientific name,size,difficulty,min. Tank size,specific gravity,PH,temperature,water hardness,stocking ratio,diet,life span,origin,family
Dwarf Chain Loach (,Yasuhikotakia sidthimunki,"5.1-6.4cm (2-2.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 8.0
","26 -28  °C (78.8-82.4°F)
","6-20 °d
","2:3 M:F
",Omnivore,"8-12 years
",Asia,"Cobitidae
"
Dwarf Merry Widow,,,,,,,,,,,,,
Wolff's Glassfish (,Parambassis wolffii,"15-20  cm (5.9-7.9"")
",Moderate,"132 Litres (35   US G.)
", - ,"6.5 - 7.5
","18 -25  °C (64.4-77°F)
","6-16 °d
","1:2 M:F
",Carnivore,"5-8 years
",Asia,"Ambassidae
"
Snakehead,,,,,,,,,,,,,
Dwarf Gudgeon,,,,,,,,,,,,,
Dwarf Chain Loach (,Yasuhikotakia sidthimunki,"5.1-6.4cm (2-2.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 8.0
","26 -28  °C (78.8-82.4°F)
","6-20 °d
","2:3 M:F
",Omnivore,"8-12 years
",Asia,"Cobitidae
"
Dwarf Livebearer,,,,,,,,,,,,,
Dusky Piranha (,Pristobrycon calmoni,"14-15  cm (5.5-5.9"")
",Challenging,"284 Litres (75   US G.)
","Freshwater  
","6.5 - 7.8
","23 -28  °C (73.4-82.4°F)
","4-25 °d
","1:1 M:F
",Carnivore,"12-18 years
",South America,"Characidae
"
Dwarf Driftwood Catfish,,,,,,,,,,,,,
Dusky Pimelodid (,Pimelodus blochii,"22.9-25.4cm (9-10  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 7.2
","20-25.6°C (68 -78  °F)
","5-20 °d
","1:1 M:F
",Omnivore,"8-10 years
",South America,"Pimelodidae
"
Wolff's Glassfish (,Parambassis wolffii,"15-20  cm (5.9-7.9"")
",Moderate,"132 Litres (35   US G.)
", - ,"6.5 - 7.5
","18 -25  °C (64.4-77°F)
","6-16 °d
","1:2 M:F
",Carnivore,"5-8 years
",Asia,"Ambassidae
"
Dusky Panther Goby (,Neovespicula depressifrons,"7.6-10.2cm (3-4  "")
",Challenging,"189 Litres (50   US G.)
", - ,"7.5 - 8.5
","22.2-27.8°C (72 -82  °F)
","10-18 °d
","1:2 M:F
",Carnivore,"5-8 years
",Indo-West Pacific,"Tetrarogidae
"
Dwarf Distichodus,,,,,,,,,,,,,
Leopardfish (,Phalloceros caudimaculatus,"3.5-4  cm (1.4-1.6"")
",Moderate,"57 Litres (15   US G.)
", - ,"7.0 - 8.0
","25 -28  °C (77-82.4°F)
","9-19 °d
","1:3 M:F
",Omnivore,"3-5 years
",South America,"Poeciliidae
"
Dwarf Flag Cichlid,,,,,,,,,,,,,
Dwarf Croaking Gourami,,,,,,,,,,,,,
Bony Snouted Gudgeon (,Butis butis,"12-15  cm (4.7-5.9"")
",Challenging,"95 Litres (25   US G.)
", - ,"7.0 - 8.0
","22 -28  °C (71.6-82.4°F)
","9-19 °d
","1:1 M:F
",Carnivore,"8-12 years
",Indo-Pacific,"Eleotridae
"
Dubois' Panchax (,Aphyoplatys duboisi,"3-3.5  cm (1.2-1.4"")
",Challenging,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.2
","22 -26  °C (71.6-78.8°F)
","4-10 °d
","1:2 M:F
",Omnivore,"2-5 years
",Africa,"Nothobranchiidae
"
Dusky Doradid (,Anadoras grypus,"10.2-12.7cm (4-5  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.2 - 7.2
","22 -26  °C (71.6-78.8°F)
","10-15 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Doradidae
"
Dwarf Argentine Pearlfish,,,,,,,,,,,,,
Dubois' Freshwater Puffer (,Tetraodon duboisi,"7.6-8.9cm (3-3.5  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.8
","23.3-26.7°C (74 -80  °F)
","5-12 °d
","1:1 M:F
",Carnivore,"8-10 years
",Africa,"Tetraodontidae
"
Dwarf Chain Loaches,,,,,,,,,,,,,
Dwarf Chain Loach,,,,,,,,,,,,,
Gray Bichir (,Polypterus senegalus,"25.4-30.5cm (10-12  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 7.2
","25 -28  °C (77-82.4°F)
","5-19 °d
","1:1 M:F
",Carnivore,"8-12 years
",Africa,"Polypteridae
"
Palembang Puffer (,Pao palembangensis,"19.1-20.3cm (7.5-8  "")
",Moderate,"151 Litres (40   US G.)
","Freshwater  
","7.5 - 8.5
","23.3-26.7°C (74 -80  °F)
","5-12 °d
","1:1 M:F
",Carnivore,"8-10 years
",Asia,"Tetraodontidae
"
Duskyfin Glassy Perchlet,,,,,,,,,,,,,
Goldfish (,Carassius auratus,"20.3-35.6cm (8-14  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 8.0
","10 -25  °C (50-77°F)
","5-25 °d
","1:2 M:F
",Omnivore,"10-35 years
",Asia,"Cyprinidae
"
Wolf Cichlid (,Parachromis dovii,"61-71.1cm (24-28  "")
",Challenging,"757 Litres (200   US G.)
","Freshwater  
","7.0 - 7.5
","23.9-27.8°C (75 -82  °F)
","15-20 °d
","1:1 M:F
",Carnivore,"8-12 years
",Central America,"Cichlidae
"
Duskyfin Glass Fish,,,,,,,,,,,,,
African Shovelnose Catfish (,Parauchenoglanis loennbergi,"15.2-25.4cm (6-10  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.5
","22.2-25.6°C (72 -78  °F)
","8-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Africa,"Claroteidae
"
Dusky Panther Goby,,,,,,,,,,,,,
Dorsey's Pimelodid (,Pimelodella dorseyi,"22.9-20.3cm (9-8  "")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.5 - 7.5
","22 -25  °C (71.6-77°F)
","8-17 °d
","1:1 M:F
",Omnivore,"8-12 years
",South America,"Heptapteridae
"
Dusky Pimelodid,,,,,,,,,,,,,
Duckbill Sleeper,,,,,,,,,,,,,
Dusky Millions Fish,,,,,,,,,,,,,
One-Spot Synodontis (,Synodontis notatus,"20.3-25.4cm (8-10  "")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","6.0 - 7.5
","21.7-25.6°C (71 -78  °F)
","4-15 °d
","1:1 M:F
",Omnivore,"8-12 years
",Africa,"Mochokidae
"
Dusky Piranha,,,,,,,,,,,,,
Dubois' Freshwater Puffer,,,,,,,,,,,,,
Dusky Doradid,,,,,,,,,,,,,
Dragonfin,,,,,,,,,,,,,
Tiger Shovelnose Catfish (,Pseudoplatystoma fasciatum,"100-104  cm (39.4-40.9"")
",Moderate,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 8.0
","24 -28  °C (75.2-82.4°F)
","4-30 °d
","1:1 M:F
",Carnivore,"8-12 years
",South America,"Pimelodidae
"
Dubois' Panchax,,,,,,,,,,,,,
Dolphin Cichlid (,Krobia itanyi,"10-12.5  cm (3.9-4.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",South America,"Cichlidae
"
Dolphin Cichlid (,Krobia itanyi,"10-12.5  cm (3.9-4.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",South America,"Cichlidae
"
Weather Loach (,Misgurnus anguillicaudatus,"20.3-25.4cm (8-10  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 8.0
","10 -25  °C (50-77°F)
","8-12 °d
","1:2 M:F
",Omnivore,"6-10 years
",Asia,"Cobitidae
"
Dolphin Catfish (,Oxydoras niger,"95-100  cm (37.4-39.4"")
",Challenging,"757 Litres (200   US G.)
","Freshwater  
","6.0 - 7.8
","20.6-23.9°C (69 -75  °F)
","10-25 °d
","1:1 M:F
",Omnivore,"8-12 years
",South America,"Doradidae
"
Dragon Puffer,,,,,,,,,,,,,
Dragon-Eye,,,,,,,,,,,,,
Dotted Catfish,,,,,,,,,,,,,
Ladder Loach (,Botia rostrata,"15.2-20.3cm (6-8  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","3 - 7
","24.4-27.8°C (76 -82  °F)
","10-12 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cobitidae
"
Dovii,,,,,,,,,,,,,
Dogtooth Cichlid (,Cynotilapia afra,"7.6-10.2cm (3-4  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.5 - 9.0
","25 -26  °C (77-78.8°F)
","10-25 °d
","1:3 M:F
",Carnivore,"8-12 years
",Lake Malawi,"Cichlidae
"
Doctor Fish (,Garra rufa,"10-14  cm (3.9-5.5"")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.5
","15 -28  °C (59-82.4°F)
","6-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",Eurasia,"Cyprinidae
"
Discus Whiptail (,Acestridium discus,"5.1-6.6cm (2-2.6  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.5
","25.6-30°C (78 -86  °F)
","2-20 °d
","1:1 M:F
",Omnivore,"5-15 years
",South America,"Loricariidae
"
Domino Syno,,,,,,,,,,,,,
Dorsey's Pimelodid,,,,,,,,,,,,,
Discus Stingray (,Paratrygon aiereba,"60-80  cm (23.6-31.5"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","6.5 - 7.2
","23 -28  °C (73.4-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"8-12 years
",South America,"Potamotrygonidae
"
Spotted Barb,,,,,,,,,,,,,
Stoliczkae's Barb,,,,,,,,,,,,,
Dorada,,,,,,,,,,,,,
Dolphin Cichlid,,,,,,,,,,,,,
Dolphin Acara,,,,,,,,,,,,,
Gold Barb (,Puntius sachsii,"7.1-7.9cm (2.8-3.1  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","6.5 - 7.5
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Black Ruby Barb (,Puntius nigrofasciatus,"5.1-6.4cm (2-2.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","22.2-26.1°C (72 -79  °F)
","6-10 °d
","1:3 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Rosy Barb (,Pethia conchonius,"7.6-10.2cm (3-4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","7.2 - 7.8
","18 -25  °C (64.4-77°F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-4 years
",Asia,"Cyprinidae
"
Dolphin Catfish,,,,,,,,,,,,,
Dojo Loach,,,,,,,,,,,,,
Dohser,,,,,,,,,,,,,
Redtail Barb (,Discherodontus ashmeadi,"10-13.6  cm (3.9-5.4"")
",Moderate,"151 Litres (40   US G.)
","Freshwater  
","6.0 - 7.5
","23 -26  °C (73.4-78.8°F)
","2-15 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Dogtooth Cichlid,,,,,,,,,,,,,
Red Tinged Barb (,Dawkinsia rubrotinctus,"7.6-8.4cm (3-3.3  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.5
","18 -25  °C (64.4-77°F)
","3-8 °d
","1:1 M:F
",Omnivore,"4-7 years
",Asia,"Cyprinidae
"
Discus Stingray,,,,,,,,,,,,,
Two-Spot Barb (,Puntius bimaculatus,"6-7  cm (2.4-2.8"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.2 - 7.0
","22 -24  °C (71.6-75.2°F)
","8-15 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Red-Tailed Tinfoil Barb (,Barbonymus altus,"18-20  cm (7.1-7.9"")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","6.5 - 7.5
","22 -27  °C (71.6-80.6°F)
","6-16 °d
","1:1 M:F
",Omnivore,"8-12 years
",Asia,"Cyprinidae
"
Doctor Fish,,,,,,,,,,,,,
Cigar Shark (,Leptobarbus hoevenii,"85-100  cm (33.5-39.4"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","7.0 - 7.2
","23 -26  °C (73.4-78.8°F)
","10-12 °d
","1:1 M:F
",Omnivore,"8-12 years
",Asia,"Cyprinidae
"
Discus Whiptail,,,,,,,,,,,,,
Red Line Torpedo Barb (,Sahyadria denisonii,"12-15  cm (4.7-5.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.8 - 7.8
","20 -25  °C (68-77°F)
","5-25 °d
","1:2 M:F
",Omnivore,"5-8 years
",India,"Cyprinidae
"
Black Ruby Barb (,Puntius nigrofasciatus,"5.1-6.4cm (2-2.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","22.2-26.1°C (72 -79  °F)
","6-10 °d
","1:3 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Rosy Barb (,Pethia conchonius,"7.6-10.2cm (3-4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","7.2 - 7.8
","18 -25  °C (64.4-77°F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-4 years
",Asia,"Cyprinidae
"
Black Ruby Barb (,Puntius nigrofasciatus,"5.1-6.4cm (2-2.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","22.2-26.1°C (72 -79  °F)
","6-10 °d
","1:3 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Panda Barb (,Haludaria melanampyx,"10.2-12.7cm (4-5  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.8 - 7.8
","22.2-23.9°C (72 -75  °F)
","4-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Palang Barb (,Mystacoleucus argenteus,"8-15  cm (3.1-5.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","3 - 7
","25 -28  °C (77-82.4°F)
","6-15 °d
","1:1 M:F
",Omnivore,"5-10 years
",Asia,"Cyprinidae
"
Rosy Barb,,,,,,,,,,,,,
Redtail Barb,,,,,,,,,,,,,
Ruby Barb,,,,,,,,,,,,,
Ozola Barb (,Barilius barna,"12-15  cm (4.7-5.9"")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.8 - 7.8
","20 -26  °C (68-78.8°F)
","5-20 °d
","1:2 M:F
",Carnivore,"3-5 years
",Asia,"Cyprinidae
"
Odessa Barb (,Pethia padamya,"5.1-6.4cm (2-2.5  "")
",Easy,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Sachsi Barb,,,,,,,,,,,,,
Gold Barb (,Puntius sachsii,"7.1-7.9cm (2.8-3.1  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","6.5 - 7.5
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
False Eight-Banded Barb (,Eirmotus octozona,"3-3.3cm (1.2-1.3  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 7.0
","24 -26  °C (75.2-78.8°F)
","2-12 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Morse Barb (,Barbus sublineatus,"8.9-10.2cm (3.5-4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.0
","22 -27  °C (71.6-80.6°F)
","5-12 °d
","1:1 M:F
",Omnivore,"5-10 years
",Africa,"Cyprinidae
"
Red Tinged Barb,,,,,,,,,,,,,
Tiger Barb (,Puntigrus tetrazona,"6.4-7.6cm (2.5-3  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","23.3-26.1°C (74 -79  °F)
","5-10 °d
","2:3 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
Redside Barb,,,,,,,,,,,,,
Red-Tailed Tinfoil Barb,,,,,,,,,,,,,
Orangefin Barb (,Barbus eutaenia,"12-14  cm (4.7-5.5"")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.5
","20 -26  °C (68-78.8°F)
","5-15 °d
","1:2 M:F
",Carnivore,"5-8 years
",Africa,"Cyprinidae
"
Dawkinsia assimilis,,,,,,,,,,,,,
Purplehead Barb.,,,,,,,,,,,,,
Red Line Torpedo Barb,,,,,,,,,,,,,
Red Finned Cigar Shark,,,,,,,,,,,,,
Purple Headed Barb,,,,,,,,,,,,,
Palang Barb,,,,,,,,,,,,,
Red Barb,,,,,,,,,,,,,
Cigar Shark (,Leptobarbus hoevenii,"85-100  cm (33.5-39.4"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","7.0 - 7.2
","23 -26  °C (73.4-78.8°F)
","10-12 °d
","1:1 M:F
",Omnivore,"8-12 years
",Asia,"Cyprinidae
"
Panda Barb,,,,,,,,,,,,,
Octozona Barb,,,,,,,,,,,,,
Titan Barb (,Pethia tiantian,"4-4.5  cm (1.6-1.8"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","7.2 - 7.8
","22 -28  °C (71.6-82.4°F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-4 years
",Asia,"Cyprinidae
"
Arulius Barb (,Dawkinsia arulius,"10-12  cm (3.9-4.7"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 6.5
","19 -25  °C (66.2-77°F)
","8-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Morse Barb,,,,,,,,,,,,,
Neon Barb,,,,,,,,,,,,,
Orangefin Barb,,,,,,,,,,,,,
Didi Barb (,Pethia didi,"3.5-4  cm (1.4-1.6"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.5
","23 -26  °C (73.4-78.8°F)
","1-12 °d
","1:1 M:F
",Omnivore,"5-10 years
",Asia,"Cyprinidae
"
Rosy Barb (,Pethia conchonius,"7.6-10.2cm (3-4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","7.2 - 7.8
","18 -25  °C (64.4-77°F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-4 years
",Asia,"Cyprinidae
"
Odessa Barb,,,,,,,,,,,,,
Moss Barb,,,,,,,,,,,,,
Mahecola Barb,,,,,,,,,,,,,
Ozola Barb,,,,,,,,,,,,,
Banded Barb (,Desmopuntius johorensis,"10-12  cm (3.9-4.7"")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 6.5
","22.8-26.1°C (73 -79  °F)
","10-14 °d
","1:2 M:F
",Omnivore,"2-5 years
",Asia,"Cyprinidae
"
Dotted-Line Barb (,Barbus lineomaculatus,"8-9  cm (3.1-3.5"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","21 -25  °C (69.8-77°F)
","5-10 °d
","1:2 M:F
",Carnivore,"3-5 years
",Africa,"Cyprinidae
"
Lemon Fin Barb (,Hypsibarbus wetmorei,"20-25  cm (7.9-9.8"")
",Challenging,"284 Litres (75   US G.)
","Freshwater  
","7.0 - 7.2
","22 -25  °C (71.6-77°F)
","10-15 °d
","1:1 M:F
",Omnivore,"18-20 years
",Asia,"Cyprinidae
"
Jerdon's Carp (,Hypselobarbus jerdoni,"35.6-45.7cm (14-18  "")
",Challenging,"1893 Litres (500   US G.)
","Freshwater  
","6.5 - 7.5
","20 -26  °C (68-78.8°F)
","5-20 °d
","1:1 M:F
",Omnivore,"5-10 years
",Asia,"Cyprinidae
"
Large-Scaled Barb (,Neolissochilus sumatranus,"13-15  cm (5.1-5.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 7.2
","22 -26  °C (71.6-78.8°F)
","6-10 °d
","1:3 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Mad Barb,,,,,,,,,,,,,
Jae Barb (,Barbus jae,"3-4  cm (1.2-1.6"")
",Challenging,"38 Litres (10   US G.)
","Freshwater  
","5.5 - 6.2
","21 -25  °C (69.8-77°F)
","1-5 °d
","1:2 M:F
",Carnivore,"3-5 years
",Africa,"Cyprinidae
"
Puntius tiantian,,,,,,,,,,,,,
Janssens' Barb (,Barbus janssensi,"3-4  cm (1.2-1.6"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","21 -25  °C (69.8-77°F)
","5-10 °d
","1:2 M:F
",Carnivore,"5-6 years
",Africa,"Cyprinidae
"
Bluefin Killifish,,,,,,,,,,,,,
Long-Finned Barb,,,,,,,,,,,,,
Hampala Barb (,Hampala macrolepidota,"60-70  cm (23.6-27.6"")
",Challenging,"568 Litres (150   US G.)
","Freshwater  
","6.5 - 7.5
","22 -25  °C (71.6-77°F)
","5-13 °d
","1:2 M:F
",Carnivore,"5-8 years
",Asia,"Cyprinidae
"
Gold Barb (,Puntius sachsii,"7.1-7.9cm (2.8-3.1  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","6.5 - 7.5
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Puntius didi,,,,,,,,,,,,,
Gold Barb (,Puntius sachsii,"7.1-7.9cm (2.8-3.1  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","6.5 - 7.5
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Tiger Barb (,Puntigrus tetrazona,"6.4-7.6cm (2.5-3  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","23.3-26.1°C (74 -79  °F)
","5-10 °d
","2:3 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
Lined Barb,,,,,,,,,,,,,
Gracilis Barb (,Barboides gracilis,"1.3-1.8cm (0.5-0.7  "")
",Moderate,"19 Litres (5   US G.)
","Freshwater  
","6.0 - 7.0
","21 -26  °C (69.8-78.8°F)
","0-6 °d
","1:1 M:F
",Carnivore,"5-8 years
",Africa,"Cyprinidae
"
Puntius conchonius,,,,,,,,,,,,,
Lemon Fin Barb,,,,,,,,,,,,,
Line-Spotted Barb,,,,,,,,,,,,,
Large-Scaled Barb,,,,,,,,,,,,,
Jerdon's Carp,,,,,,,,,,,,,
Gold Barb (,Puntius sachsii,"7.1-7.9cm (2.8-3.1  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","6.5 - 7.5
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Cigar Shark (,Leptobarbus hoevenii,"85-100  cm (33.5-39.4"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","7.0 - 7.2
","23 -26  °C (73.4-78.8°F)
","10-12 °d
","1:1 M:F
",Omnivore,"8-12 years
",Asia,"Cyprinidae
"
Tiger Barb (,Puntigrus tetrazona,"6.4-7.6cm (2.5-3  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","23.3-26.1°C (74 -79  °F)
","5-10 °d
","2:3 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
Giant Barb (,Catlocarpio siamensis,"150-300  cm (59.1-118.1"")
",Very Difficult,"3785 Litres (1000   US G.)
","Freshwater  
","6.5 - 7.5
","22.2-26.1°C (72 -79  °F)
","1-10 °d
","1:1 M:F
",Omnivore,"10-30 years
",Asia,"Cyprinidae
"
Foersch's Fire Barb (,Desmopuntius foerschi,"5-6  cm (2-2.4"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","4.0 - 7.0
","22.8-27.8°C (73 -82  °F)
","1-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Indonesia,"Cyprinidae
"
Dwarf Gold Barb (,Pethia gelius,"4-5.1  cm (1.6-2"")
",Easy,"38 Litres (10   US G.)
","Freshwater  
","6 - 7
","18 -22  °C (64.4-71.6°F)
","2-10 °d
","2:3 M:F
",Omnivore,"2-3 years
",India,"Cyprinidae
"
Janssens' Barb,,,,,,,,,,,,,
Jae Barb,,,,,,,,,,,,,
Half-Striped Barb,,,,,,,,,,,,,
Flying Barb (,Esomus danricus,"6-12  cm (2.4-4.7"")
",Moderate,"114 Litres (30   US G.)
", - ,"6.5 - 8.0
","22 -25  °C (71.6-77°F)
","5-18 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Foersch's Fire Barb (,Desmopuntius foerschi,"5-6  cm (2-2.4"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","4.0 - 7.0
","22.8-27.8°C (73 -82  °F)
","1-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Indonesia,"Cyprinidae
"
Half-banded Barb,,,,,,,,,,,,,
Green Tiger Barb,,,,,,,,,,,,,
Hampala Barb,,,,,,,,,,,,,
Dwarf Gold Barb (,Pethia gelius,"4-5.1  cm (1.6-2"")
",Easy,"38 Litres (10   US G.)
","Freshwater  
","6 - 7
","18 -22  °C (64.4-71.6°F)
","2-10 °d
","2:3 M:F
",Omnivore,"2-3 years
",India,"Cyprinidae
"
Ghat Barb (,Barilius gatensis,"10-15  cm (3.9-5.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.8 - 7.8
","16 -24  °C (60.8-75.2°F)
","10-25 °d
","1:1 M:F
",Omnivore,"5-10 years
",India,"Cyprinidae
"
Gracilis Barb,,,,,,,,,,,,,
Five-Banded Barb (,Desmopuntius pentazona,"3.8-5.1cm (1.5-2  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","5.0 - 7.0
","23.9-27.8°C (75 -82  °F)
","2-13 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Ticto Barb (,Pethia ticto,"7.6-10.2cm (3-4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.0
","14 -22  °C (57.2-71.6°F)
","8-10 °d
","1:3 M:F
",Carnivore,"3-5 years
",Asia,"Cyprinidae
"
Gold Shark,,,,,,,,,,,,,
Glass barb,,,,,,,,,,,,,
Blue-Barred Barb (,Barbus fasciolatus,"5.1-6.1cm (2-2.4  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 6.5
","22 -26  °C (71.6-78.8°F)
","5-12 °d
","1:2 M:F
",Omnivore,"3-5 years
",Africa,"Cyprinidae
"
Filament Barb (,Dawkinsia filamentosa,"12.7-17.8cm (5-7  "")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","6.0 - 7.0
","20-23.9°C (68 -75  °F)
","5-10 °d
","1:3 M:F
",Omnivore,"2-8 years
",Asia,"Cyprinidae
"
Giant Sixbanded Barb,,,,,,,,,,,,,
Gold Banded Barb,,,,,,,,,,,,,
False Spanner Barb (,Barbodes kuchingensis,"6-7  cm (2.4-2.8"")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.2
","23 -26  °C (73.4-78.8°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
Gold Barb,,,,,,,,,,,,,
Giant Barb,,,,,,,,,,,,,
